Measurement#,Material,BLE,WIFI,MatNum
1,Nomat,61,43,1
2,Nomat,63,41,1
3,Nomat,67,40,1
4,Nomat,71,44,1
5,Nomat,73,38,1
6,Nomat,65,36,1
7,Nomat,64,37,1
8,Nomat,62,43,1
9,Nomat,64,42,1
10,Nomat,65,36,1
11,Nomat,63,38,1
12,Nomat,64,38,1
13,Nomat,65,39,1
14,Nomat,67,41,1
15,Nomat,65,40,1
16,Nomat,64,39,1
17,Nomat,63,42,1
18,Nomat,65,41,1
19,Nomat,64,41,1
20,Nomat,63,39,1
21,Nomat,62,38,1
22,Nomat,64,36,1
23,Nomat,63,41,1
24,Nomat,70,39,1
25,Nomat,68,41,1
26,Nomat,65,37,1
27,Nomat,64,37,1
28,Nomat,63,41,1
29,Nomat,64,41,1
30,Nomat,62,46,1
31,Cardboard,73,51,2
32,Cardboard,75,48,2
33,Cardboard,74,47,2
34,Cardboard,75,45,2
35,Cardboard,76,50,2
36,Cardboard,73,52,2
37,Cardboard,74,52,2
38,Cardboard,74,53,2
39,Cardboard,73,54,2
40,Cardboard,74,53,2
41,Cardboard,75,57,2
42,Cardboard,73,51,2
43,Cardboard,74,55,2
44,Cardboard,73,52,2
45,Cardboard,75,49,2
46,Cardboard,78,51,2
47,Cardboard,76,54,2
48,Cardboard,75,48,2
49,Cardboard,74,47,2
50,Cardboard,75,49,2
51,Cardboard,74,51,2
52,Cardboard,76,52,2
53,Cardboard,78,50,2
54,Cardboard,77,51,2
55,Cardboard,76,48,2
56,Cardboard,75,47,2
57,Cardboard,75,51,2
58,Cardboard,74,48,2
59,Cardboard,72,49,2
60,Cardboard,76,51,2
61,Pillow,70,46,3
62,Pillow,75,45,3
63,Pillow,71,44,3
64,Pillow,72,44,3
65,Pillow,69,49,3
66,Pillow,75,51,3
67,Pillow,77,43,3
68,Pillow,75,44,3
69,Pillow,70,47,3
70,Pillow,72,45,3
71,Pillow,70,44,3
72,Pillow,72,44,3
73,Pillow,70,45,3
74,Pillow,70,48,3
75,Pillow,71,47,3
76,Pillow,70,47,3
77,Pillow,71,49,3
78,Pillow,73,50,3
79,Pillow,72,46,3
80,Pillow,71,45,3
81,Pillow,75,43,3
82,Pillow,70,43,3
83,Pillow,69,47,3
84,Pillow,70,45,3
85,Pillow,72,44,3
86,Pillow,71,44,3
87,Pillow,70,41,3
88,Pillow,72,40,3
89,Pillow,70,45,3
90,Pillow,69,51,3
91,Glass,74,43,4
92,Glass,73,45,4
93,Glass,72,41,4
94,Glass,74,41,4
95,Glass,71,46,4
96,Glass,74,49,4
97,Glass,75,48,4
98,Glass,73,48,4
99,Glass,72,43,4
100,Glass,71,42,4
101,Glass,74,40,4
102,Glass,75,44,4
103,Glass,77,47,4
104,Glass,73,48,4
105,Glass,75,43,4
106,Glass,76,44,4
107,Glass,75,41,4
108,Glass,74,45,4
109,Glass,72,43,4
110,Glass,71,45,4
111,Glass,74,48,4
112,Glass,73,51,4
113,Glass,71,49,4
114,Glass,75,45,4
115,Glass,76,44,4
116,Glass,72,42,4
117,Glass,75,46,4
118,Glass,74,45,4
119,Glass,73,45,4
120,Glass,70,42,4
121,Wood,71,45,5
122,Wood,73,47,5
123,Wood,72,47,5
124,Wood,71,46,5
125,Wood,68,42,5
126,Wood,67,45,5
127,Wood,69,42,5
128,Wood,71,41,5
129,Wood,68,43,5
130,Wood,71,46,5
131,Wood,69,44,5
132,Wood,71,46,5
133,Wood,72,47,5
134,Wood,75,49,5
135,Wood,71,44,5
136,Wood,67,43,5
137,Wood,68,45,5
138,Wood,70,45,5
139,Wood,69,46,5
140,Wood,71,48,5
141,Wood,71,51,5
142,Wood,69,55,5
143,Wood,68,49,5
144,Wood,70,48,5
145,Wood,71,49,5
146,Wood,73,47,5
147,Wood,70,45,5
148,Wood,71,47,5
149,Wood,68,43,5
150,Wood,71,42,5
151,Wood,68,42,5
